wl,n
4.94071,1.52702
4.95050,1.52656
4.96032,1.52609
4.97018,1.52562
4.98008,1.52515
4.99002,1.52468
5.00000,1.52420
5.01002,1.52372
5.02008,1.52324
5.03018,1.52275
5.04032,1.52226
5.05051,1.52177
5.06073,1.52127
5.07099,1.52077
5.08130,1.52027
5.09165,1.51976
5.10204,1.51925
5.11247,1.51873
5.12295,1.51821
5.13347,1.51769
5.14403,1.51716
5.15464,1.51663
5.16529,1.51610
5.17598,1.51556
5.18672,1.51501
5.19751,1.51447
5.20833,1.51392
5.21921,1.51336
5.23013,1.51280
5.24109,1.51224
5.25210,1.51167
5.26316,1.51110
5.27426,1.51052
5.28541,1.50994
5.29661,1.50936
5.30786,1.50877
5.31915,1.50817
5.33049,1.50758
5.34188,1.50697
5.35332,1.50636
5.36481,1.50575
5.37634,1.50514
5.38793,1.50451
5.39957,1.50389
5.41126,1.50325
5.42299,1.50262
5.43478,1.50198
5.44662,1.50133
5.45852,1.50068
5.47046,1.50002
5.48246,1.49936
5.49451,1.49869
5.50661,1.49801
5.51876,1.49734
5.53097,1.49665
5.54324,1.49596
5.55556,1.49527
5.56793,1.49456
5.58036,1.49386
5.59284,1.49314
5.60538,1.49243
5.61798,1.49170
5.63063,1.49097
5.64334,1.49023
5.65611,1.48949
5.66893,1.48874
5.68182,1.48799
5.69476,1.48722
5.70776,1.48645
5.72082,1.48568
5.73394,1.48490
5.74713,1.48411
5.76037,1.48331
5.77367,1.48251
5.78704,1.48170
5.80046,1.48089
5.81395,1.48006
5.82751,1.47923
5.84112,1.47839
5.85480,1.47755
5.86854,1.47670
5.88235,1.47584
5.89623,1.47497
5.91017,1.47409
5.92417,1.47321
5.93824,1.47232
5.95238,1.47142
5.96659,1.47051
5.98086,1.46959
5.99520,1.46867
6.00962,1.46773
6.02410,1.46679
6.03865,1.46584
6.05327,1.46488
6.06796,1.46391
6.08273,1.46293
6.09756,1.46194
6.11247,1.46095
6.12745,1.45994
6.14251,1.45893
